"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@aaroadwatch M1 is closed northbound at Junction 7. Diversions in place through Julianstown.",FALSE,1,"aaroadwatch",2019-04-06 22:19:12,FALSE,"1114645715429613570","1114653809425494016","81816303","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nuala_Mullen",0,FALSE,FALSE,NA,NA
"#MEATH Vehicle on fire on M1 northbound. More here: https://t.co/ipFDM8svNY",FALSE,2,NA,2019-04-06 21:47:02,FALSE,NA,"1114645715429613570",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aaroadwatch",1,FALSE,FALSE,NA,NA
"#LOUTH Pedestrian safely moved on from M1 northbound. https://www.TheAAie/Newsroom",FALSE,0,"aaroadwatch",2019-04-06 21:22:04,FALSE,"1114634623605268480","1114639434115317762","81816303","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aaroadwatch",0,FALSE,FALSE,NA,NA
"#LOUTH Pedestrian on M1 northbound. More here: https://t.co/ipFDM8svNY",FALSE,1,NA,2019-04-06 21:02:57,FALSE,NA,"1114634623605268480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aaroadwatch",0,FALSE,FALSE,NA,NA
"Only took me 7 hours to get to skeggy from Chelmsford<U+0001F630>
Thank god I have @aaroadwatch !!",FALSE,2,NA,2019-04-06 17:28:48,FALSE,NA,"1114580729357328384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lauren_bartle",0,FALSE,FALSE,NA,NA
"@sligococo Thanks for the tweet!",FALSE,0,"sligococo",2019-04-06 15:58:28,FALSE,"1114557592251056128","1114557996921708544","42593261","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","aaroadwatch",0,FALSE,FALSE,NA,NA
"Traffic lights at the Oakfield Rd/Roger Eames Road junction on #Sligo are out of order.#SlowDown @aaroadwatch… https://t.co/7KPhS7Txyw",FALSE,2,NA,2019-04-06 15:56:52,TRUE,NA,"1114557592251056128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sligococo",0,FALSE,FALSE,NA,NA
"#DUBLIN #WICKLOW Crash cleared from M11 southbound. https://t.co/PSzIBsvOzE",FALSE,1,"aaroadwatch",2019-04-06 15:35:43,FALSE,"1114534271589470213","1114552269880659975","81816303","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","aaroadwatch",0,FALSE,FALSE,NA,NA
"#CORK No further reports of a collision on the N25 eastbound. https://t.co/PSzIBsvOzE",FALSE,0,"aaroadwatch",2019-04-06 14:27:43,FALSE,"1114517475088060416","1114535156969242624","81816303","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","aaroadwatch",0,FALSE,FALSE,NA,NA
"#DUBLIN #WICKLOW Crash on M11 southbound. More here: https://t.co/PSzIBsvOzE",FALSE,2,NA,2019-04-06 14:24:12,FALSE,NA,"1114534271589470213",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","aaroadwatch",0,FALSE,FALSE,NA,NA
