text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
@aaroadwatch M1 is closed northbound at Junction 7. Diversions in place through Julianstown.,FALSE,1,aaroadwatch,06/04/2019 22:19,FALSE,1.11E+18,1.11E+18,81816303,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Nuala_Mullen,0,FALSE,FALSE,NA,NA
#MEATH Vehicle on fire on M1 northbound. More here: https://t.co/ipFDM8svNY,FALSE,2,NA,06/04/2019 21:47,FALSE,NA,1.11E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aaroadwatch,1,FALSE,FALSE,NA,NA
#LOUTH Pedestrian safely moved on from M1 northbound. https://www.TheAAie/Newsroom,FALSE,0,aaroadwatch,06/04/2019 21:22,FALSE,1.11E+18,1.11E+18,81816303,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aaroadwatch,0,FALSE,FALSE,NA,NA
#LOUTH Pedestrian on M1 northbound. More here: https://t.co/ipFDM8svNY,FALSE,1,NA,06/04/2019 21:02,FALSE,NA,1.11E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aaroadwatch,0,FALSE,FALSE,NA,NA
"Only took me 7 hours to get to skeggy from Chelmsford<U+0001F630>
Thank god I have @aaroadwatch !!",FALSE,2,NA,06/04/2019 17:28,FALSE,NA,1.11E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lauren_bartle,0,FALSE,FALSE,NA,NA
@sligococo Thanks for the tweet!,FALSE,0,sligococo,06/04/2019 15:58,FALSE,1.11E+18,1.11E+18,42593261,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",aaroadwatch,0,FALSE,FALSE,NA,NA
Traffic lights at the Oakfield Rd/Roger Eames Road junction on #Sligo are out of order.#SlowDown @aaroadwatch… https://t.co/7KPhS7Txyw,FALSE,2,NA,06/04/2019 15:56,TRUE,NA,1.11E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sligococo,0,FALSE,FALSE,NA,NA
#DUBLIN #WICKLOW Crash cleared from M11 southbound. https://t.co/PSzIBsvOzE,FALSE,1,aaroadwatch,06/04/2019 15:35,FALSE,1.11E+18,1.11E+18,81816303,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",aaroadwatch,0,FALSE,FALSE,NA,NA
#CORK No further reports of a collision on the N25 eastbound. https://t.co/PSzIBsvOzE,FALSE,0,aaroadwatch,06/04/2019 14:27,FALSE,1.11E+18,1.11E+18,81816303,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",aaroadwatch,0,FALSE,FALSE,NA,NA
#DUBLIN #WICKLOW Crash on M11 southbound. More here: https://t.co/PSzIBsvOzE,FALSE,2,NA,06/04/2019 14:24,FALSE,NA,1.11E+18,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",aaroadwatch,0,FALSE,FALSE,NA,NA
"#DUBLIN Crash cleared from M50 northbound, but delays remain. More here: https://t.co/PSzIBsvOzE",FALSE,0,aaroadwatch,06/04/2019 14:16,FALSE,1.11E+18,1.11E+18,81816303,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",aaroadwatch,0,FALSE,FALSE,NA,NA
#MEATH Collision cleared from N52. https://t.co/PSzIBsvOzE,FALSE,0,aaroadwatch,06/04/2019 14:01,FALSE,1.11E+18,1.11E+18,81816303,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",aaroadwatch,0,FALSE,FALSE,NA,NA
#DUBLIN Collision moved to hard shoulder; still heavy delays on approach. https://t.co/PSzIBsvOzE,FALSE,0,aaroadwatch,06/04/2019 13:59,FALSE,1.11E+18,1.11E+18,81816303,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",aaroadwatch,0,FALSE,FALSE,NA,NA
