"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@LiveDrive @IrishPub_Awards @SandyfordHseDub Looking forward to eating@SandyfordHseDub",FALSE,0,"LiveDrive",2018-12-17 23:31:46,FALSE,"1074584735127666688","1074809408868270080","14920301","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","BridFitzMurphy",0,FALSE,FALSE,NA,NA
"@aaroadwatch Let me be the first to mention the chaos that has ensued after Lidl opened it store in Castleknock vil… https://t.co/xtAGeRWmAl",FALSE,0,"aaroadwatch",2018-12-17 22:20:35,TRUE,NA,"1074791492634451968","81816303","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","McCannCiaran1",0,FALSE,FALSE,NA,NA
"#WICKLOW No further reports of breakdown on N11. https://t.co/PSzIBsvOzE",FALSE,2,"aaroadwatch",2018-12-17 22:16:16,FALSE,"1074766184992657409","1074790406754324480","81816303","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aaroadwatch",0,FALSE,FALSE,NA,NA
"#CORK Collision cleared from N25. https://t.co/PSzIBsvOzE",FALSE,0,"aaroadwatch",2018-12-17 21:57:01,FALSE,"1074757800411172867","1074785561943121927","81816303","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aaroadwatch",0,FALSE,FALSE,NA,NA
"@LiveDrive @IrishPub_Awards @SandyfordHseDub Wow!  Have read the reviews on this lovely place and they are great.… https://t.co/r3sIX1tBQQ",FALSE,0,"LiveDrive",2018-12-17 21:40:29,TRUE,"1074584735127666688","1074781403970265089","14920301","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","sandragough",0,FALSE,FALSE,NA,NA
"#DUBLIN Crash cleared from M50. https://t.co/PSzIBsvOzE",FALSE,1,"aaroadwatch",2018-12-17 21:10:27,FALSE,"1074767464569950208","1074773843867250688","81816303","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aaroadwatch",1,FALSE,FALSE,NA,NA
"#DUBLIN Crash on M50. More here: https://t.co/PSzIBsvOzE",FALSE,2,NA,2018-12-17 20:45:06,FALSE,NA,"1074767464569950208",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","aaroadwatch",0,FALSE,FALSE,NA,NA
"#WICKLOW Breakdown on N11. More here: https://t.co/PSzIBsvOzE",FALSE,1,NA,2018-12-17 20:40:01,FALSE,NA,"1074766184992657409",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","aaroadwatch",0,FALSE,FALSE,NA,NA
"#DUBLIN Collision cleared from Thomas St. https://t.co/PSzIBsvOzE",FALSE,0,"aaroadwatch",2018-12-17 20:14:25,FALSE,"1074751940335161344","1074759743586099202","81816303","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aaroadwatch",0,FALSE,FALSE,NA,NA
"#CORK Collision on N25. More here: https://t.co/PSzIBsvOzE",FALSE,1,NA,2018-12-17 20:06:42,FALSE,NA,"1074757800411172867",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","aaroadwatch",2,FALSE,FALSE,NA,NA
