text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"@aaroadwatch car broke on the inside lane South of Carlow, very difficult to see. Stick to outside lane.",FALSE,0,aaroadwatch,21/02/2019 19:33,FALSE,NA,1.09867E+18,81816303,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",nailersoneill,0,FALSE,FALSE,NA,NA
Playlist Thursday February 21st 2019 https://t.co/8Svudtg0su,FALSE,0,NA,21/02/2019 19:28,FALSE,NA,1.09867E+18,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",LiveDrive,0,FALSE,FALSE,NA,NA
"@eIlxn Hi, both crashes have been cleared now, however traffic remains very heavy on the M7 southbound from J7 Kill past J10 Naas South.",FALSE,1,eIlxn,21/02/2019 19:05,FALSE,1.09866E+18,1.09866E+18,313294709,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",aaroadwatch,0,FALSE,FALSE,NA,NA
@aaroadwatch How someone would crash in a 60KM zone baffles me <U+0001F644>,FALSE,0,aaroadwatch,21/02/2019 19:01,FALSE,1.09865E+18,1.09866E+18,81816303,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PatrickMich,0,FALSE,FALSE,NA,NA
#KILDARE Collision cleared from N7 southbound. More here: https://t.co/PSzIBsvOzE,FALSE,0,aaroadwatch,21/02/2019 19:00,FALSE,1.09865E+18,1.09866E+18,81816303,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",aaroadwatch,0,FALSE,FALSE,NA,NA
#KILDARE Collision cleared from M7 southbound. More here: https://t.co/PSzIBsvOzE,FALSE,1,aaroadwatch,21/02/2019 18:59,FALSE,1.09865E+18,1.09866E+18,81816303,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",aaroadwatch,0,FALSE,FALSE,NA,NA
@aaroadwatch Excruciating <U+0001F616>,FALSE,0,aaroadwatch,21/02/2019 18:59,FALSE,1.09865E+18,1.09866E+18,81816303,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Lacey79,0,FALSE,FALSE,NA,NA
"@c_oreilly Hi there, we can't see anything, was it at the junction or after near Glasnevin?",FALSE,0,c_oreilly,21/02/2019 18:51,FALSE,1.09866E+18,1.09866E+18,43340960,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",LiveDrive,0,FALSE,FALSE,NA,NA
@livedrive Possible incident at Hart's Corner outbound,FALSE,1,LiveDrive,21/02/2019 18:48,FALSE,NA,1.09866E+18,14920301,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",c_oreilly,0,FALSE,FALSE,NA,NA
@Wall3gurl Just as well you know those back roads!,FALSE,0,Wall3gurl,21/02/2019 18:47,FALSE,1.09865E+18,1.09866E+18,53507420,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",LiveDrive,0,FALSE,FALSE,NA,NA
@Flat_Back_4 @aaroadwatch I feel your pain <U+0001F622>,FALSE,0,Flat_Back_4,21/02/2019 18:43,FALSE,1.09865E+18,1.09865E+18,21249600,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NicolaOSulliva2,0,FALSE,FALSE,NA,NA
#KILDARE Crash causing very heavy traffic on M7. More here: https://t.co/PSzIBsvOzE,FALSE,0,aaroadwatch,21/02/2019 18:43,FALSE,1.09865E+18,1.09865E+18,81816303,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",aaroadwatch,0,FALSE,FALSE,NA,NA
