"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#KILDARE Collision cleared from M4. https://t.co/PSzIBsvOzE",FALSE,0,"aaroadwatch",2019-05-09 19:43:43,FALSE,"1126552150497267712","1126573480185671681","81816303","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aaroadwatch",0,FALSE,FALSE,NA,NA
"#MONAGHAN No further reports of a fuel spill outside Monaghan Town. https://t.co/PSzIBsvOzE",FALSE,1,"aaroadwatch",2019-05-09 19:35:08,FALSE,"1126541761717907460","1126571323243794432","81816303","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aaroadwatch",0,FALSE,FALSE,NA,NA
"@DubFireBrigade @DCCTraffic @aaroadwatch I'd love to know how that happened.  Use that junction everyday",FALSE,0,"DubFireBrigade",2019-05-09 19:20:11,FALSE,"1126563335074398208","1126567559845826561","2798058029","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cill123",0,FALSE,FALSE,NA,NA
"Playlist Thursday May 9th 2019 https://t.co/dYnlSOKe2Z",FALSE,0,NA,2019-05-09 19:15:02,FALSE,NA,"1126566263608659969",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","LiveDrive",0,FALSE,FALSE,NA,NA
"@AkaPaulHoward @martylyricfm @aaroadwatch A brilliant show",FALSE,0,"AkaPaulHoward",2019-05-09 19:12:49,FALSE,"1126383351387103232","1126565704432533505","718795318637305856","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fushu79",0,FALSE,FALSE,NA,NA
"Bunratty Rd, Coolock is temporarily blocked following a road traffic collision #Dublin #fire #traffic @DCCTraffic… https://t.co/ZKHKDcoJGm",FALSE,7,NA,2019-05-09 19:03:24,TRUE,NA,"1126563335074398208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DubFireBrigade",4,FALSE,FALSE,NA,NA
"@aaroadwatch @MonaghanCoCo @NewsonNS No problem guys",FALSE,0,"aaroadwatch",2019-05-09 18:23:20,FALSE,"1126528317853769730","1126553253049700355","81816303","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cfoxcavan",0,FALSE,FALSE,NA,NA
"#KILDARE Collision on M4. More here: https://t.co/PSzIBsvOzE",FALSE,0,NA,2019-05-09 18:18:57,FALSE,NA,"1126552150497267712",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","aaroadwatch",0,FALSE,FALSE,NA,NA
"@Fingalcoco What are you going to do to make this junction safer? https://t.co/NreooY8cIJ",FALSE,0,"Fingalcoco",2019-05-09 18:11:01,FALSE,NA,"1126550154566361089","103286991","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","andyb_ie",0,FALSE,FALSE,NA,NA
"#DUBLIN Breakdown cleared from Dean St. https://t.co/ipFDM8svNY",FALSE,0,"aaroadwatch",2019-05-09 17:55:50,FALSE,"1126544740936294402","1126546330338365444","81816303","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aaroadwatch",0,FALSE,FALSE,NA,NA
"R132 NORTHBOUND:  Incident cleared from Blake's Cross but reports of heavy flooding in the area causing delays.",FALSE,0,"LiveDrive",2019-05-09 17:52:11,FALSE,"1126533494937653255","1126545411731349506","14920301","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","LiveDrive",0,FALSE,FALSE,NA,NA
"M50 SOUTH:  There is a breakdown on the M50 Southbound just before the M50/ M11 merge blocking the hard shoulder.",FALSE,0,NA,2019-05-09 17:49:51,FALSE,NA,"1126544828530069509",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","LiveDrive",0,FALSE,FALSE,NA,NA
"#DUBLIN Breakdown on Dean St. More here: https://t.co/ipFDM8svNY",FALSE,1,NA,2019-05-09 17:49:31,FALSE,NA,"1126544740936294402",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aaroadwatch",0,FALSE,FALSE,NA,NA
"@corkcitycouncil is this the way all employees park their vehicles. Abandoned for 15 minutes in the middle of the r… https://t.co/69okB8jDiD",FALSE,0,"corkcitycouncil",2019-05-09 17:49:15,TRUE,NA,"1126544676012593157","68981225","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CillianStanton",0,FALSE,FALSE,NA,NA
