text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
@LiveDrive @IrishPub_Awards @SandyfordHseDub Looking forward to eating@SandyfordHseDub,FALSE,0,LiveDrive,17/12/2018 23:31,FALSE,1.07E+18,1.07E+18,14920301,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",BridFitzMurphy,0,FALSE,FALSE,NA,NA
@aaroadwatch Let me be the first to mention the chaos that has ensued after Lidl opened it store in Castleknock vil… https://t.co/xtAGeRWmAl,FALSE,0,aaroadwatch,17/12/2018 22:20,TRUE,NA,1.07E+18,81816303,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",McCannCiaran1,0,FALSE,FALSE,NA,NA
#WICKLOW No further reports of breakdown on N11. https://t.co/PSzIBsvOzE,FALSE,2,aaroadwatch,17/12/2018 22:16,FALSE,1.07E+18,1.07E+18,81816303,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aaroadwatch,0,FALSE,FALSE,NA,NA
#CORK Collision cleared from N25. https://t.co/PSzIBsvOzE,FALSE,0,aaroadwatch,17/12/2018 21:57,FALSE,1.07E+18,1.07E+18,81816303,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aaroadwatch,0,FALSE,FALSE,NA,NA
@LiveDrive @IrishPub_Awards @SandyfordHseDub Wow!  Have read the reviews on this lovely place and they are great.… https://t.co/r3sIX1tBQQ,FALSE,0,LiveDrive,17/12/2018 21:40,TRUE,1.07E+18,1.07E+18,14920301,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",sandragough,0,FALSE,FALSE,NA,NA
#DUBLIN Crash cleared from M50. https://t.co/PSzIBsvOzE,FALSE,1,aaroadwatch,17/12/2018 21:10,FALSE,1.07E+18,1.07E+18,81816303,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aaroadwatch,1,FALSE,FALSE,NA,NA
#DUBLIN Crash on M50. More here: https://t.co/PSzIBsvOzE,FALSE,2,NA,17/12/2018 20:45,FALSE,NA,1.07E+18,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",aaroadwatch,0,FALSE,FALSE,NA,NA
#WICKLOW Breakdown on N11. More here: https://t.co/PSzIBsvOzE,FALSE,1,NA,17/12/2018 20:40,FALSE,NA,1.07E+18,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",aaroadwatch,0,FALSE,FALSE,NA,NA
#DUBLIN Collision cleared from Thomas St. https://t.co/PSzIBsvOzE,FALSE,0,aaroadwatch,17/12/2018 20:14,FALSE,1.07E+18,1.07E+18,81816303,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aaroadwatch,0,FALSE,FALSE,NA,NA
#CORK Collision on N25. More here: https://t.co/PSzIBsvOzE,FALSE,1,NA,17/12/2018 20:06,FALSE,NA,1.07E+18,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",aaroadwatch,2,FALSE,FALSE,NA,NA
Playlist Monday December 17th 2018 https://t.co/QbCEqUHUrm,FALSE,0,NA,17/12/2018 20:01,FALSE,NA,1.07E+18,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",LiveDrive,0,FALSE,FALSE,NA,NA
#LAOIS Debris cleared from M7. https://t.co/PSzIBsvOzE,FALSE,1,aaroadwatch,17/12/2018 20:00,FALSE,1.07E+18,1.07E+18,81816303,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aaroadwatch,0,FALSE,FALSE,NA,NA
#DUBLIN Collision cleared from M50. https://t.co/PSzIBsvOzE,FALSE,1,aaroadwatch,17/12/2018 19:58,FALSE,1.07E+18,1.07E+18,81816303,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aaroadwatch,0,FALSE,FALSE,NA,NA
